Symbol	logFC	P.Value
PTX3	2.519444827	4.69E-06
BEX5	2.266022559	4.69E-06
APOE	-1.66502892	4.73E-06
ZNF638	1.926348687	4.73E-06
NEDD4	1.235268667	4.76E-06
SLC25A43	2.030199153	4.79E-06
VCP	1.576042341	4.85E-06
AFF3	1.439837396	4.87E-06
FAM155B	2.779994546	4.90E-06
EVI2B	2.071457073	4.92E-06
SNORA65	1.13801581	4.98E-06
RPS7	-0.70675567	4.99E-06
ARHGAP11B	-1.318725708	5.06E-06
LOC284441	1.852200543	5.08E-06
PAFAH1B2	1.593229545	5.11E-06
PFN2	2.5765881	5.12E-06
HMGCS1	1.519523994	5.14E-06
ZNF700	1.609584676	5.16E-06
MCM2	-0.947997066	5.22E-06
C6orf114	1.818076872	5.21E-06
RAB3IP	0.948380942	5.25E-06
PTPN4	1.690054481	5.25E-06
NMNAT3	-1.957672245	5.37E-06
LEPROT	1.257603038	5.38E-06
UHRF2	2.065473763	5.47E-06
UPF3A	1.736991438	5.49E-06
CCDC123	-1.834907877	5.53E-06
HHAT	1.787492415	5.53E-06
KCTD3	1.802438049	5.56E-06
REC8	-0.547557498	5.56E-06
ID2	1.721521806	5.61E-06
CCDC3	-1.923416329	5.62E-06
MAP9	2.152363676	5.66E-06
DST	2.195896915	5.68E-06
TPRKB	2.037000223	5.72E-06
DNTTIP2	1.098972038	5.76E-06
NR4A3	1.681067161	5.78E-06
SFRS3	2.009985072	5.81E-06
GSTM1	1.868834558	5.88E-06
GLMN	1.659731557	5.88E-06
EPGN	1.64414763	5.91E-06
CSTB	1.077781728	5.92E-06
ANP32A	1.809380101	5.93E-06
L3MBTL	1.969239588	5.96E-06
WAC	2.011968062	6.01E-06
FOXN2	0.672033372	6.03E-06
S100PBP	1.288714663	6.12E-06
C19orf62	1.503665408	6.16E-06
TTC39C	-1.710785764	6.21E-06
NARS2	1.539313673	6.21E-06
SERINC3	2.059654805	6.24E-06
RNF2	1.587441779	6.26E-06
MRPL19	1.860615518	6.30E-06
NAT15	1.681845711	6.30E-06
CARD8	1.751495385	6.38E-06
ZNF280C	2.029252822	6.40E-06
CAD	-1.366349272	6.44E-06
SERPINB8	-1.847629169	6.45E-06
CYP20A1	2.041749071	6.55E-06
VEGFB	1.38097501	6.57E-06
MAFF	1.428767454	6.74E-06
ZYX	1.391765034	6.77E-06
SRP9	2.050418957	6.85E-06
DMTF1	1.531908405	6.85E-06
C16orf59	-1.95865899	6.91E-06
SORL1	1.439282566	6.91E-06
HSPA13	2.291953268	6.98E-06
BTG1	0.65974994	6.99E-06
STARD3	1.921484326	7.05E-06
CTCF	-1.665553188	7.08E-06
CA2	-1.712398534	7.13E-06
GABPB1	1.90697308	7.18E-06
RMND1	1.997859371	7.25E-06
RUNX1	1.689484802	7.26E-06
CYP20A1	1.812119431	7.34E-06
EIF2A	-0.549055758	7.35E-06
DEF8	1.339173326	7.40E-06
PIGP	-1.311956518	7.40E-06
OSBPL7	0.870305804	7.42E-06
CIITA	1.988263688	7.44E-06
GABARAPL2	0.57664692	7.47E-06
GPD2	1.333234637	7.47E-06
GNAI1	1.881395685	7.52E-06
FASTKD5	1.127442216	7.52E-06
GCNT1	2.29743134	7.61E-06
TNRC6B	1.56215499	7.64E-06
EIF4G2	2.027164386	7.65E-06
FBXL11	1.533641629	7.65E-06
FBXO18	1.463881262	7.71E-06
DTNBP1	1.141400258	7.72E-06
RUFY1	1.642526534	7.77E-06
ANGPT1	1.942640478	7.78E-06
PTPN2	1.816938458	7.82E-06
KIAA0133	-1.458131774	7.84E-06
SNORD21	1.348458509	7.96E-06
NKX2-3	2.110314985	7.98E-06
GNB4	1.332365945	8.04E-06
PACSIN3	-2.868013062	8.06E-06
C10orf10	2.316029203	8.10E-06
AURKC	-1.956359914	8.10E-06
WEE1	1.746457309	8.21E-06
GATAD2B	1.409184527	8.22E-06
NCKAP1	2.338142531	8.25E-06
SLC39A8	2.055461341	8.26E-06
KIAA0895L	-0.806317234	8.34E-06
RFX7	1.76065487	8.36E-06
ILKAP	1.957573283	8.45E-06
C14orf4	1.766966748	8.45E-06
ZNF254	1.142053501	8.54E-06
SP110	0.800765934	8.55E-06
PPIG	1.83137275	8.62E-06
ZNF154	1.734341398	8.64E-06
GOLT1B	2.162566833	8.70E-06
RGPD2	1.210876472	8.71E-06
PSTPIP1	2.097192614	8.77E-06
POLR2J2	1.644505494	8.79E-06
TNFRSF11A	1.196725508	8.83E-06
KIAA1274	0.989130033	8.83E-06
GUF1	1.761252056	8.90E-06
SCAMP3	-0.572920838	8.93E-06
TBCC	1.619888854	8.96E-06
DHX15	1.58705807	9.00E-06
BIN1	0.61141334	9.08E-06
UCHL1	1.272517452	9.08E-06
STMN1	-1.539094394	9.12E-06
CYP20A1	1.290320358	9.17E-06
MFSD2B	-3.88673679	9.22E-06
ATP5L	2.025862651	9.23E-06
PIK3R5	1.673957667	9.32E-06
ABCB8	-1.615770024	9.42E-06
PDLIM5	-1.422713178	9.45E-06
CPSF4	-0.565386746	9.46E-06
TMEM110	-2.454466867	9.63E-06
CACYBP	-0.650872446	9.66E-06
ZMYND17	1.615586863	9.74E-06
CCDC46	2.41901324	9.83E-06
RNY3	0.595524324	9.92E-06
DCHS2	1.345452292	9.97E-06
SERPINI1	2.560253281	1.00E-05
TMED5	1.648058468	1.00E-05
WDR75	1.204317544	1.02E-05
ETNK1	0.666032836	1.02E-05
DIP2A	1.562017466	1.03E-05
TAGAP	1.25041017	1.03E-05
ZSCAN22	1.909609496	1.04E-05
FUK	1.646168114	1.05E-05
HDAC5	1.652193534	1.05E-05
TGOLN2	0.962939804	1.06E-05
RBPMS	2.007747085	1.06E-05
ALDOA	-0.541061104	1.06E-05
TIPARP	2.060404204	1.07E-05
PDE4DIP	2.639444891	1.07E-05
ARL6	2.249935581	1.09E-05
APOC1	-1.728291708	1.09E-05
OXR1	2.106412899	1.10E-05
POLR1C	1.495168097	1.10E-05
H2BFXP	1.762824759	1.11E-05
FYB	1.344923439	1.11E-05
PARP15	1.334453864	1.12E-05
CLEC14A	1.581914512	1.12E-05
BLZF1	1.303739249	1.13E-05
LASS5	1.325778031	1.13E-05
SNX26	1.730926112	1.14E-05
ZKSCAN1	1.80026646	1.15E-05
TRIM44	1.91951356	1.16E-05
SNORD96A	1.126499844	1.16E-05
SLC39A6	1.34445045	1.17E-05
NARS	1.649115436	1.17E-05
CDC25A	-3.297986348	1.18E-05
KLF12	1.81486786	1.18E-05
CRYZ	1.666434453	1.19E-05
C10orf140	1.67064998	1.19E-05
PPP1CC	1.767668662	1.20E-05
ABCB1	2.033193658	1.20E-05
WTAP	1.767667714	1.21E-05
SOX9	-1.675852261	1.22E-05
L2HGDH	-1.80817996	1.23E-05
HAX1	1.731131129	1.23E-05
MBOAT7	1.272041202	1.24E-05
ARID4A	1.446581292	1.24E-05
APPBP2	1.706852193	1.24E-05
SNORA4	1.122247856	1.24E-05
TIMM44	-0.582887158	1.25E-05
FAHD1	1.457759664	1.26E-05
YWHAG	1.909545425	1.26E-05
PSME1	0.605966086	1.27E-05
FLJ10324	2.128910954	1.29E-05
FAM40B	0.917519828	1.29E-05
REPS2	1.578309535	1.29E-05
C9orf100	-2.785022138	1.29E-05
TCF4	1.004840828	1.31E-05
PRKCB1	1.99972399	1.32E-05
DGKQ	1.498344604	1.33E-05
RAB5B	1.838481887	1.34E-05
B4GALT6	1.811700252	1.35E-05
TNF	1.756340553	1.36E-05
SLC41A1	1.617683278	1.37E-05
SGTA	-0.540316054	1.37E-05
INHA	1.787273571	1.38E-05
TOP3A	-0.885016834	1.38E-05
KRCC1	1.927623202	1.39E-05
CCL28	1.424035476	1.39E-05
AFTPH	1.721205991	1.41E-05
PAIP2	1.569757756	1.41E-05
SAMD9L	1.982421817	1.42E-05
NFKBIZ	1.537196876	1.43E-05
C5orf56	1.930465566	1.44E-05
EGLN2	1.465423819	1.44E-05
LCOR	1.186672398	1.46E-05
SFRS6	1.244285034	1.46E-05
IFITM1	1.124261818	1.49E-05
ZDHHC16	1.475352518	1.49E-05
TRIM56	0.825693288	1.51E-05
ZNF221	1.354624662	1.51E-05
FBXO11	1.44493949	1.53E-05
RPS19BP1	-0.493504992	1.53E-05
SEC63	2.02978291	1.53E-05
HPS4	-1.168456614	1.53E-05
MLL	0.888327194	1.54E-05
GLT8D1	-2.715426614	1.55E-05
OPA1	1.839990478	1.55E-05
HSPA13	2.404644156	1.57E-05
RNF149	1.678686363	1.58E-05
MEG3	1.576251124	1.58E-05
TANK	0.905231542	1.60E-05
TRPV2	1.582428164	1.61E-05
CTSO	1.690303785	1.62E-05
C9orf140	-1.254746488	1.62E-05
LRCH1	1.899684483	1.63E-05
SENP7	2.188940025	1.64E-05
COG3	2.021691749	1.65E-05
PGP	-1.910462637	1.66E-05
FLJ22795	1.543194294	1.68E-05
TBC1D4	1.171637799	1.69E-05
SPATS2	1.013649062	1.69E-05
EEF1AL7	1.564327526	1.69E-05
KCNQ2	2.007289804	1.71E-05
GBP1	1.471657001	1.71E-05
MERTK	2.049747433	1.72E-05
ZC3H15	1.856886824	1.72E-05
MFAP4	1.325440422	1.73E-05
SFXN2	1.329034511	1.73E-05
PDGFA	2.27246224	1.74E-05
BANF1	-0.550744866	1.74E-05
NAMPT	0.987833002	1.76E-05
MS4A4A	2.163678047	1.76E-05
SCRN1	0.61826296	1.78E-05
DCUN1D5	1.541054936	1.78E-05
RXRB	1.248120508	1.79E-05
PRKAA1	1.736096014	1.79E-05
RPF1	2.047447895	1.80E-05
UCHL3	-0.52507803	1.80E-05
SYNJ1	0.88082844	1.82E-05
FAM104B	-1.472738994	1.82E-05
ZNF34	-1.790206393	1.84E-05
ATE1	1.091371118	1.84E-05
LRP10	1.905464369	1.86E-05
SLC6A9	-2.62577765	1.87E-05
BDH1	1.195049951	1.88E-05
TRAF3IP1	1.625431932	1.89E-05
CDC7	1.895522909	1.90E-05
SERAC1	1.361721499	1.90E-05
NSUN4	1.578784985	1.92E-05
TMEM67	1.858920637	1.93E-05
COPA	1.30074876	1.95E-05
SUMO1	1.843214128	1.95E-05
CUX1	1.998801139	1.96E-05
MYADM	2.542592728	1.97E-05
LAMB1	1.834324023	1.98E-05
AP3M2	-1.21961098	1.98E-05
SENP6	2.054254083	1.99E-05
PREI3	1.729595533	2.00E-05
TRIM33	1.892106837	2.01E-05
RABGGTA	-0.831439668	2.01E-05
AXIN2	-3.987720027	2.01E-05
PM20D2	1.864976	2.01E-05
RALY	-0.951486166	2.03E-05
C3orf62	1.481098911	2.04E-05
ATF1	1.948162343	2.08E-05
KDM3B	1.909076757	2.08E-05
ZNF536	-3.245611079	2.10E-05
ASAP2	1.980354235	2.11E-05
SNORD124	2.209132896	2.11E-05
POLR1A	-2.001569336	2.11E-05
LMO4	1.813878389	2.12E-05
PHF14	1.405056079	2.12E-05
GTPBP6	-0.489281112	2.13E-05
ZNF274	1.182513938	2.14E-05
FADS1	-1.247713934	2.16E-05
KATNAL2	1.27233384	2.16E-05
TANK	1.553908346	2.19E-05
KHK	-2.15590169	2.19E-05
THOC2	1.544021828	2.20E-05
STAP1	1.607490951	2.20E-05
KIAA1919	1.916565868	2.22E-05
PBX2	1.265624405	2.22E-05
CA5B	1.84412294	2.22E-05
PDK1	1.744518975	2.23E-05
COPS6	-0.744125406	2.25E-05
GGH	1.36162306	2.25E-05
CCDC101	-0.671734102	2.27E-05
KCTD6	0.97268407	2.27E-05
C6orf108	-1.279789391	2.31E-05
ZNF839	1.44910917	2.31E-05
ITGB1	1.963588508	2.33E-05
ANKRD10	0.974091194	2.34E-05
VIP	2.016033198	2.35E-05
NONO	1.353772368	2.35E-05
C10orf61	1.555632485	2.37E-05
NELF	1.621852639	2.37E-05
CENPC1	1.865218021	2.38E-05
RNU2-1	0.75774315	2.39E-05
GAB1	1.653454539	2.42E-05
GABRB2	-3.591575982	2.42E-05
TTC9C	1.314152787	2.44E-05
RPL23AP53	1.632980765	2.44E-05
GHRL	-1.619843071	2.46E-05
CCDC109B	1.325285898	2.46E-05
SOCS5	1.682333115	2.47E-05
ACVR1	1.899232137	2.47E-05
NASP	1.886155726	2.49E-05
TSC1	1.354136394	2.50E-05
ZNF330	1.738208089	2.51E-05
COPS2	1.563740838	2.52E-05
BTRC	1.62832669	2.54E-05
ASB8	1.520288609	2.54E-05
ST3GAL6	1.01356103	2.57E-05
NUDT10	1.79259841	2.57E-05
TTC19	1.430641304	2.60E-05
DACH1	2.054353887	2.60E-05
AIMP2	-0.6222194	2.63E-05
SYT15	1.561981692	2.65E-05
N6AMT1	1.503297951	2.67E-05
LOC440145	1.312772484	2.68E-05
IFFO2	1.452926172	2.68E-05
CCND3	1.138554104	2.68E-05
HOMER2	-1.982426282	2.70E-05
RNF11	1.700793819	2.72E-05
TOP2A	-3.325841604	2.75E-05
TTF2	-1.92240229	2.76E-05
PPP1R9A	1.547346406	2.77E-05
Magmas	-0.807405272	2.77E-05
ARAP2	0.749710856	2.79E-05
FILIP1L	1.545356876	2.79E-05
FHOD1	0.937628374	2.83E-05
LOC100129387	1.588227842	2.84E-05
AGTPBP1	1.690255862	2.87E-05
PADI4	1.217190198	2.87E-05
ZNF821	1.370240714	2.89E-05
C18orf55	-1.242575118	2.91E-05
ARF3	1.001890613	2.94E-05
MAP4K2	0.60727668	2.93E-05
ELAVL1	1.668460118	2.95E-05
GABPB2	1.517596466	2.95E-05
SNORD25	1.15682958	2.99E-05
MAX	0.828042398	2.99E-05
FAM86A	-1.526353686	3.01E-05
RAC2	1.623602724	3.01E-05
UXT	1.333683526	3.04E-05
TUBGCP4	1.127759298	3.04E-05
TSPAN13	1.762290549	3.05E-05
BCL2L11	1.53663095	3.07E-05
VSIG8	1.637480336	3.10E-05
NPM1	1.92323336	3.11E-05
SMG7	1.267132965	3.12E-05
CRABP2	-1.969489663	3.13E-05
CPNE2	1.298721166	3.15E-05
DUSP6	1.215914558	3.15E-05
SERPINB9	1.824165221	3.16E-05
NDUFA3	-0.523632022	3.16E-05
PRR14	1.678244829	3.19E-05
GTPBP8	1.474513362	3.19E-05
FTSJ1	-1.483003592	3.22E-05
LUZP6	-2.032511725	3.22E-05
IDH1	1.45916878	3.25E-05
THEX1	1.233873742	3.26E-05
FLYWCH2	-0.952506268	3.28E-05
CDK5RAP3	1.101712676	3.28E-05
LRFN1	1.452887981	3.30E-05
MBNL1	1.170700054	3.31E-05
ARL3	-2.475377933	3.34E-05
EXOC7	1.456068902	3.34E-05
ZNF217	1.240676682	3.38E-05
FAM115A	0.533528744	3.39E-05
ARHGAP4	1.332796774	3.41E-05
TRIM3	1.482855492	3.41E-05
TEAD4	-4.63087809	3.44E-05
SETD6	1.46745821	3.44E-05
NFATC3	1.529460776	3.46E-05
CEBPE	-2.471186711	3.47E-05
C18orf10	1.409729716	3.53E-05
IIP45	-1.633521394	3.53E-05
DOK2	1.683110929	3.56E-05
PSMD1	-0.619596126	3.57E-05
RAB39B	2.337924058	3.60E-05
C6orf150	-1.51976022	3.61E-05
TRIM37	-1.451359894	3.62E-05
AFF4	1.547356536	3.62E-05
LYSMD3	1.500311766	3.64E-05
ITGA2B	-2.155025903	3.66E-05
WHSC1	1.395472753	3.68E-05
C9orf16	-0.4827336	3.68E-05
FAM134A	1.188980678	3.70E-05
SLC22A12	-3.464471301	3.71E-05
ZNF682	1.338271032	3.71E-05
ELAVL4	1.51156836	3.71E-05
NFU1	1.11080454	3.73E-05
BNIP2	1.30681077	3.73E-05
CCDC6	-0.573405834	3.78E-05
MRE11A	-0.730211716	3.78E-05
NPM2	2.160619254	3.84E-05
PLAG1	1.339608294	3.84E-05
MTX1	1.518630598	3.86E-05
CASP2	-0.496559692	3.87E-05
GSTCD	-2.340456145	3.89E-05
QKI	1.022292393	3.91E-05
CNIH	1.328943416	3.93E-05
HCFC1	1.523057826	3.94E-05
GCLC	1.666561075	3.97E-05
EPHX2	2.366104449	3.98E-05
MAP2K1IP1	1.143119006	4.05E-05
KIAA1632	-1.264959356	4.05E-05
ZNF117	1.692783978	4.07E-05
GTF2F1	0.833013816	4.07E-05
SNORD41	1.368125286	4.10E-05
SOX8	2.466022375	4.12E-05
CUBN	1.116129655	4.16E-05
KATNA1	1.18634787	4.16E-05
SMAP1	1.512863616	4.20E-05
PIGS	-0.772092704	4.21E-05
PLIN2	-1.014380152	4.26E-05
ARHGEF7	2.048177697	4.26E-05
MOGS	-1.70570906	4.29E-05
PMS2L5	1.577223778	4.29E-05
LOC730101	1.403496411	4.31E-05
DCTN6	1.609833138	4.33E-05
MOBKL3	1.956665236	4.35E-05
CROP	1.092317292	4.36E-05
PDCD10	1.509119739	4.37E-05
LEO1	1.543771534	4.38E-05
NFX1	0.851560504	4.41E-05
FAM126B	0.787478438	4.42E-05
ADH4	1.402046848	4.45E-05
KLHDC10	1.400066704	4.46E-05
LETMD1	0.649490374	4.48E-05
KIAA0528	1.715480114	4.48E-05
CLEC2D	1.473599589	4.50E-05
CASP1	1.123271611	4.51E-05
FAM160B1	0.628430292	4.53E-05
C14orf106	1.502742587	4.54E-05
PCBP2	1.059618458	4.58E-05
ABI1	1.413045821	4.58E-05
GPR160	1.625166464	4.69E-05
RNF126P1	-2.87074668	4.69E-05
FAM174A	1.551253639	4.72E-05
NOTCH1	1.38002185	4.75E-05
ZDHHC18	1.231009989	4.81E-05
RCP9	-0.86141819	4.87E-05
PLA2G1B	2.210855513	4.95E-05
CIR1	0.718141588	4.99E-05
C13orf34	1.101862853	5.01E-05
KRTAP10-2	-1.420390724	5.01E-05
SPATA7	1.46770917	5.03E-05
FAM119B	1.291399953	5.03E-05
KIAA1370	1.550287436	5.04E-05
ERG	1.972291785	5.05E-05
TTC3	1.267377738	5.13E-05
LMNB2	-1.068235084	5.13E-05
SNORA9	0.948399394	5.19E-05
VAPB	1.47588539	5.21E-05
GNS	1.412627192	5.25E-05
OSBPL3	1.773572398	5.25E-05
GTF2E2	-0.60132189	5.27E-05
RNF14	1.36768961	5.29E-05
C12orf30	1.345649366	5.29E-05
ING1	1.213208715	5.31E-05
VAV3	1.393027983	5.34E-05
U2AF1L4	1.407330828	5.36E-05
ACTR5	0.852340254	5.39E-05
SNORD18A	1.999212388	5.40E-05
BRD1	1.627974316	5.42E-05
DNPEP	-0.794702524	5.43E-05
SNORA3	0.508639614	5.49E-05
WDR1	0.89979786	5.52E-05
MFAP3L	1.640704892	5.54E-05
HAPLN1	1.626517923	5.58E-05
VAV3	1.938046102	5.66E-05
NAGPA	-1.214384534	5.67E-05
B3GNT9	1.146389432	5.71E-05
SIVA	-0.50322668	5.72E-05
MTERFD3	1.432892203	5.77E-05
PPARBP	1.675950958	5.77E-05
BRMS1	-0.55124173	5.82E-05
ZNF444	1.066446128	5.82E-05
DCUN1D1	1.334696632	5.87E-05
HNRNPD	0.649041508	5.87E-05
C6orf1	1.366317892	5.89E-05
FRAT1	-1.950984585	5.90E-05
LRRC50	-2.168708431	5.94E-05
ESF1	1.505333801	5.97E-05
AP1B1	-0.722828622	6.04E-05
HMGN3	1.786239661	6.05E-05
FNDC3A	1.242096961	6.11E-05
TMEM14B	1.21093535	6.14E-05
SNX13	1.877100276	6.17E-05
TERF1	0.800300108	6.17E-05
PIN1	-0.487215932	6.23E-05
ABTB1	1.80942834	6.23E-05
MAX	0.862951988	6.24E-05
WDTC1	1.765737819	6.25E-05
NANOG	1.572517228	6.35E-05
CNN3	0.89269243	6.36E-05
TMEM183B	1.504305746	6.40E-05
SLC25A22	-0.864324492	6.42E-05
ETS2	-0.645982608	6.44E-05
MTMR12	1.621170454	6.46E-05
C3orf60	1.563853506	6.49E-05
ZNF668	-0.766381654	6.49E-05
FOXO1	1.189636878	6.54E-05
DNAJC10	1.629840562	6.54E-05
RAB24	1.098961404	6.58E-05
VKORC1	-0.530658554	6.58E-05
HES6	-2.094347191	6.62E-05
OSBPL5	-1.638058371	6.62E-05
PDXP	-1.051981276	6.67E-05
C20orf7	1.655056574	6.69E-05
TERF2	1.011952654	6.73E-05
CCNA2	-2.047512542	6.74E-05
EAF1	1.76968094	6.76E-05
SCFD1	1.49446955	6.76E-05
HSP90AA1	0.758839516	6.82E-05
IMP5	-1.891173289	6.83E-05
RPL5	0.56900959	6.86E-05
SPTA1	-1.597406028	6.88E-05
PUS3	1.504037453	6.93E-05
ZC3H4	1.13352732	6.94E-05
ULK3	1.587441693	6.98E-05
PHF3	0.88568882	6.98E-05
ERMN	1.413688005	7.04E-05
GSN	0.875945478	7.05E-05
ZNF551	1.445063213	7.06E-05
PRDM8	1.22287681	7.10E-05
TROVE2	-0.726161722	7.17E-05
ACCS	0.541582014	7.19E-05
NDRG4	1.48172748	7.22E-05
SSU72	0.882998466	7.25E-05
AKAP1	1.689922502	7.29E-05
PCBP1	1.209934548	7.31E-05
PROK2	-2.422772132	7.37E-05
RRAGA	1.318116218	7.37E-05
ACCN4	-1.955233235	7.38E-05
NCRNA00153	1.299383069	7.38E-05
WIPF1	1.741959522	7.52E-05
YTHDF3	1.379203305	7.54E-05
FXYD5	0.42316601	7.55E-05
C10orf4	1.377417459	7.55E-05
OVGP1	1.215834757	7.59E-05
KIAA0261	1.347512466	7.60E-05
HIST1H1D	1.554672272	7.62E-05
ZNF25	-1.266038744	7.61E-05
GRB14	1.611288121	7.64E-05
NDC80	1.258407433	7.65E-05
SBNO2	1.507283598	7.69E-05
FANCE	-0.809842488	7.69E-05
MCFD2	1.721350563	7.72E-05
RAB9A	1.429165288	7.73E-05
C1orf63	1.512706991	7.75E-05
ATP2B1	1.869674524	7.75E-05
MRPL36	-0.481804686	7.82E-05
TXN	-0.63324645	7.83E-05
NPW	-1.164133614	7.89E-05
CNOT1	1.368742893	7.89E-05
MED9	1.278556507	7.94E-05
SUDS3	1.283779913	7.96E-05
CYTSB	1.817642117	8.00E-05
ILF3	-0.514490836	8.00E-05
RAI1	1.639936279	8.02E-05
RDH11	0.902508336	8.02E-05
PRKAR1A	1.711695911	8.04E-05
RGS3	-3.10359538	8.03E-05
FN3KRP	1.113362285	8.09E-05
KLHDC7A	-3.04558692	8.10E-05
MUS81	0.96634065	8.12E-05
PYGB	1.503851944	8.14E-05
ATG4C	1.676029348	8.18E-05
KIAA1958	-1.039097932	8.18E-05
CMAS	-0.581780468	8.23E-05
STRN3	1.346297086	8.23E-05
CENPM	-1.736498531	8.29E-05
RPL30	0.434977264	8.29E-05
ANAPC11	-1.135186446	8.32E-05
ARPC1A	-0.727463846	8.33E-05
DPP3	-1.063564566	8.36E-05
TRPM3	-3.012895312	8.36E-05
ZNF555	1.498007879	8.40E-05
TGIF1	1.489999938	8.41E-05
XKR8	-1.301219912	8.44E-05
FAM110A	1.133834022	8.45E-05
C20orf118	-3.115608576	8.51E-05
DUXA	-3.8775306	8.54E-05
SPRY2	1.972210031	8.57E-05
NFKBIA	0.54891159	8.58E-05
REV1	1.010261716	8.62E-05
INCA1	1.659102799	8.63E-05
HIST1H3A	0.7681425	8.69E-05
SYCP2	1.695443035	8.70E-05
DNASE1L2	-3.552158364	8.75E-05
KIAA1026	-2.834404707	8.77E-05
PINK1	0.879750608	8.84E-05
CXorf39	1.800956128	8.85E-05
ZNF595	0.679550764	8.93E-05
HSD17B1	0.801710456	8.95E-05
SAP30L	1.279026962	8.99E-05
PAK1	0.888728994	9.01E-05
KIAA1712	1.447177364	9.10E-05
SLC25A36	0.894119338	9.19E-05
HIGD2A	0.873554952	9.22E-05
RBM10	0.681916676	9.24E-05
PDE8A	1.275583806	9.30E-05
FBXO4	1.937995611	9.33E-05
PCDHA12	-2.687761128	9.34E-05
NFXL1	1.492346363	9.35E-05
GPATCH4	-1.139850468	9.45E-05
NOB1	-0.469953192	9.45E-05
MFSD8	1.355831244	9.47E-05
MAGEA5	-2.845362726	9.48E-05
GOSR1	1.599427631	9.53E-05
LRRN1	1.474902269	9.55E-05
KIAA0922	0.833755674	9.65E-05
C2orf37	1.275202874	9.66E-05
HPS5	-1.468229994	9.71E-05
TRAPPC6B	1.581858986	9.72E-05
E2F5	1.43900844	9.75E-05
ANKHD1	1.324325012	9.78E-05
VPS72	-0.79579334	9.86E-05
ANKDD1A	1.175851148	9.86E-05
SNORD93	1.843413254	9.93E-05
CWC22	1.017953856	9.94E-05
ADAMTS16	-3.507917141	0.00010002
TMPO	1.602716947	0.000100068
RFC2	1.418221863	0.000100828
LIN54	1.242762324	0.000100771
CCKAR	-3.036213763	0.000101273
ARRDC4	2.012561804	0.000101282
ESR2	-4.23792244	0.000101727
REPS2	1.490837152	0.00010179
GYPB	-2.955760218	0.00010227
MPHOSPH10	-0.791754342	0.000102677
FUNDC2	-2.048423167	0.000103123
MRRF	1.336298836	0.000103203
LASS6	1.284108734	0.000103711
ZBTB2	1.445297011	0.000104073
PRR13	0.558497304	0.000105133
EIF2S1	1.42563559	0.000105289
CBARA1	-0.66911099	0.000106212
IRS1	-2.931171856	0.000106384
PIBF1	1.04072938	0.000106848
RHBDD2	-0.662768658	0.000107043
SLC23A1	1.241153304	0.00010762
RNH1	0.800248478	0.000107985
HIST1H2BB	2.159343541	0.00010857
TXNIP	0.706666436	0.000108665
TFEC	1.27752069	0.000108976
TAF1A	1.613879637	0.000109187
TRUB2	1.731190835	0.000109429
ORMDL1	1.379340245	0.000109501
SNRNP70	0.454218038	0.000110737
NXF3	-3.13341506	0.000110796
CTDSPL2	1.728941373	0.000111522
ASPG	-2.924891281	0.000111782
N4BP2	0.611920392	0.000112132
WDR33	1.163391765	0.000112264
SCAMP1	1.322543014	0.000112431
FCHSD2	-0.602412966	0.000112501
LAIR1	0.791469174	0.00011281
PIK3CA	1.329168789	0.000112969
MAPKSP1	1.398201429	0.000113547
EXOSC10	1.781158317	0.000113615
DIAPH2	1.177159019	0.000114209
TAS2R14	1.861494069	0.000114427
EEF1A2	1.935837021	0.000114591
CALN1	1.165298966	0.000114786
C11orf58	1.766768878	0.000115708
ICK	1.843071682	0.000116153
SMAD7	2.228137056	0.000117186
FNDC3A	1.344455365	0.000117384
RAB21	0.729482212	0.000118113
TPSAB1	-3.662236026	0.00011821
NEUROD2	-1.208120214	0.000119516
C4orf18	1.41105383	0.000119523
SNORD83A	1.336176255	0.0001201
CACNA1B	-2.33298912	0.000120194
SNORD52	0.961273586	0.000120843
CNTNAP1	2.452704362	0.000121037
METTL7A	1.328333313	0.000122057
NP	0.647469122	0.000122359
UBA7	0.528465496	0.000123222
PTK2B	1.120370264	0.000123326
SPAST	1.505450635	0.000124397
HGS	-0.443948148	0.000124463
EIF4A2	0.560845244	0.000124979
GLT8D1	2.058508424	0.000125238
TCEA2	0.563242054	0.000125753
EXOC1	1.247374721	0.000126005
OSCAR	-2.479615695	0.000126373
UBE1DC1	1.835332702	0.000126656
SLC35A3	1.020542233	0.000127326
MRPS35	1.409712591	0.000127736
SCAND1	-0.394600632	0.0001295
GPR82	1.132484201	0.000129553
PRKRIR	0.887994304	0.000130079
CKAP4	1.309680048	0.000130216
LRRC45	-1.67524491	0.000131009
MAP1A	-1.431994487	0.000131113
DNAJA1	0.950812566	0.000131515
FAM49B	1.420990267	0.000131742
RSBN1	1.243314049	0.00013212
DES	-2.174775692	0.000132157
WHSC1	-2.386808073	0.000132617
HDAC4	1.554873263	0.000132818
SMPD4	1.422237681	0.000133979
FAM18B	0.829364372	0.000134169
PLAG1	2.162921839	0.000134581
MRPS18C	1.629484679	0.000134657
CXCL2	2.079573274	0.000135334
CDH7	2.318363058	0.000135406
PCLO	1.963461653	0.000135629
C1GALT1C1	1.602177207	0.000135732
EPB41	1.874280305	0.000136644
PIGA	1.101716156	0.000136675
C7orf38	-0.883864062	0.000136764
SNRPB2	0.853072816	0.000136868
KIAA1429	1.190557417	0.000137464
ATP6V1G1	0.977216222	0.000137479
